"jurisdiction","year","mean_tax"
"Estonia",1989,NA
"Estonia",1990,NA
"Estonia",1991,NA
"Estonia",1992,NA
"Estonia",1993,NA
"Estonia",1994,NA
"Estonia",1995,NA
"Estonia",1996,NA
"Estonia",1997,NA
"Estonia",1998,NA
"Estonia",1999,NA
"Estonia",2000,0.32
"Estonia",2001,0.32
"Estonia",2002,0.32
"Estonia",2003,0.32
"Estonia",2004,0.32
"Estonia",2005,0.72
"Estonia",2006,1
"Estonia",2007,1
"Estonia",2008,1.5
"Estonia",2009,2
"Estonia",2010,2
"Estonia",2011,2
"Estonia",2012,2
"Estonia",2013,2
"Estonia",2014,2
"Estonia",2015,2
"Estonia",2016,2
"Estonia",2017,2
"Estonia",2018,2
"Estonia",2019,2
"Estonia",2020,2
"Estonia",2021,2
"Estonia",2022,2
"Finland",1989,NA
"Finland",1990,1.2
"Finland",1991,1.2
"Finland",1992,1.2
"Finland",1993,2.4
"Finland",1994,3.380637014
"Finland",1995,4.83095885933333
"Finland",1996,4.83095885933333
"Finland",1997,8.835798081
"Finland",1998,11.236243724
"Finland",1999,12.8392663706667
"Finland",2000,12.8392663706667
"Finland",2001,12.8392663706667
"Finland",2002,12.8392663706667
"Finland",2003,13.5764996336667
"Finland",2004,13.5764996336667
"Finland",2005,13.5764996336667
"Finland",2006,13.5764996336667
"Finland",2007,13.5764996336667
"Finland",2008,15.27150883
"Finland",2009,15.27150883
"Finland",2010,15.27150883
"Finland",2011,25.00935933
"Finland",2012,36.6760259966667
"Finland",2013,39.84404051
"Finland",2014,42.85515162
"Finland",2015,48.5545318633333
"Finland",2016,54.8905608866667
"Finland",2017,58.8552599533333
"Finland",2018,61.4031273366667
"Finland",2019,62.2695899333333
"Finland",2020,62.2695899333333
"Finland",2021,62.2695899333333
"Finland",2022,NA
"France",1989,NA
"France",1990,NA
"France",1991,NA
"France",1992,NA
"France",1993,NA
"France",1994,NA
"France",1995,NA
"France",1996,NA
"France",1997,NA
"France",1998,NA
"France",1999,NA
"France",2000,NA
"France",2001,NA
"France",2002,NA
"France",2003,NA
"France",2004,NA
"France",2005,NA
"France",2006,NA
"France",2007,NA
"France",2008,NA
"France",2009,NA
"France",2010,NA
"France",2011,NA
"France",2012,NA
"France",2013,NA
"France",2014,7
"France",2015,14.5
"France",2016,22
"France",2017,30.5
"France",2018,44.6
"France",2019,44.6
"France",2020,44.6
"France",2021,44.6
"France",2022,44.6
"Norway",1989,NA
"Norway",1990,NA
"Norway",1991,NA
"Norway",1992,NA
"Norway",1993,NA
"Norway",1994,NA
"Norway",1995,NA
"Norway",1996,NA
"Norway",1997,NA
"Norway",1998,NA
"Norway",1999,55.3522807495184
"Norway",2000,57.9322941870054
"Norway",2001,44.7291924751841
"Norway",2002,48.6107509589362
"Norway",2003,46.8554722928709
"Norway",2004,45.4016651921044
"Norway",2005,48.6939900694964
"Norway",2006,49.0854846680532
"Norway",2007,24.9485253220194
"Norway",2008,24.9279497701812
"Norway",2009,24.0609526230623
"Norway",2010,26.860574153852
"Norway",2011,42.3436588585945
"Norway",2012,44.8157232955171
"Norway",2013,43.8725026769322
"Norway",2014,47.579845775818
"Norway",2015,47.3483505179883
"Norway",2016,48.7051407926919
"Norway",2017,51.9993262686848
"Norway",2018,56.2646936350657
"Norway",2019,55.8314084932769
"Norway",2020,52.6915338434559
"Norway",2021,58.1502287082917
"Norway",2022,75.822021802211
"Poland",1989,NA
"Poland",1990,NA
"Poland",1991,NA
"Poland",1992,NA
"Poland",1993,NA
"Poland",1994,NA
"Poland",1995,NA
"Poland",1996,NA
"Poland",1997,NA
"Poland",1998,NA
"Poland",1999,0.0402137952771669
"Poland",2000,0.0449082858331187
"Poland",2001,0.0517410054973478
"Poland",2002,0.0518480895707263
"Poland",2003,0.0454589171275919
"Poland",2004,0.0441817572671314
"Poland",2005,0.0546852195349454
"Poland",2006,0.0590371003633726
"Poland",2007,0.0607870287839278
"Poland",2008,0.0654879065925345
"Poland",2009,0.055457790339224
"Poland",2010,0.0600800660026875
"Poland",2011,0.0582437800590974
"Poland",2012,0.0573512729060881
"Poland",2013,0.0571770459198946
"Poland",2014,0.0573578285000928
"Poland",2015,0.0573597540476484
"Poland",2016,0.0664648672133974
"Poland",2017,0.0681228905624878
"Poland",2018,0.0680513185161518
"Poland",2019,0.0674792278952832
"Poland",2020,0.0675212409475779
"Poland",2021,0.067905337683871
"Poland",2022,0.0682869653435347
"Portugal",1989,NA
"Portugal",1990,NA
"Portugal",1991,NA
"Portugal",1992,NA
"Portugal",1993,NA
"Portugal",1994,NA
"Portugal",1995,NA
"Portugal",1996,NA
"Portugal",1997,NA
"Portugal",1998,NA
"Portugal",1999,NA
"Portugal",2000,NA
"Portugal",2001,NA
"Portugal",2002,NA
"Portugal",2003,NA
"Portugal",2004,NA
"Portugal",2005,NA
"Portugal",2006,NA
"Portugal",2007,NA
"Portugal",2008,NA
"Portugal",2009,NA
"Portugal",2010,NA
"Portugal",2011,NA
"Portugal",2012,NA
"Portugal",2013,NA
"Portugal",2014,NA
"Portugal",2015,5
"Portugal",2016,6.9
"Portugal",2017,6.9
"Portugal",2018,5.796
"Portugal",2019,12.1885
"Portugal",2020,22.8317
"Portugal",2021,23.619
"Portugal",2022,24
"Sweden",1989,NA
"Sweden",1990,NA
"Sweden",1991,NA
"Sweden",1992,NA
"Sweden",1993,NA
"Sweden",1994,NA
"Sweden",1995,NA
"Sweden",1996,NA
"Sweden",1997,NA
"Sweden",1998,NA
"Sweden",1999,28.3564434787709
"Sweden",2000,30.0170929216916
"Sweden",2001,31.4741322622611
"Sweden",2002,35.0166467386382
"Sweden",2003,39.6125292440309
"Sweden",2004,44.5274695079502
"Sweden",2005,43.9639459001415
"Sweden",2006,44.3291515135021
"Sweden",2007,45.0298682218392
"Sweden",2008,42.8168491921286
"Sweden",2009,40.4382116368281
"Sweden",2010,45.1110436031325
"Sweden",2011,105.221728214881
"Sweden",2012,112.154105557976
"Sweden",2013,112.584033004946
"Sweden",2014,106.893946761546
"Sweden",2015,108.353289554752
"Sweden",2016,106.573593560324
"Sweden",2017,105.824772830422
"Sweden",2018,101.089813815623
"Sweden",2019,99.9483233112941
"Sweden",2020,102.738002213219
"Sweden",2021,106.912495146149
"Sweden",2022,114.868185118036
"Switzerland",1989,NA
"Switzerland",1990,NA
"Switzerland",1991,NA
"Switzerland",1992,NA
"Switzerland",1993,NA
"Switzerland",1994,NA
"Switzerland",1995,NA
"Switzerland",1996,NA
"Switzerland",1997,NA
"Switzerland",1998,NA
"Switzerland",1999,NA
"Switzerland",2000,NA
